"formula","site","depth","Suction_kPa"
"C14H18O3S1","GS","60-90",3
"C14H18O5","PT","180-210",3
"C14H18O5","GS","30-60",50
"C14H18O5","PT","180-210",15
"C11H22O7","DMT","0-30",15
"C11H22O7","DMT","0-30",3
"C15H22O4","PT","90-120",15
"C15H22O4","PT","0-30",3
"C15H22O4","PT","30-60",50
"C15H22O4","PT","0-30",50
"C15H22O4","GS","60-90",3
"C15H22O4","PT","210-240",1.5
"C15H22O4","PT","60-90",15
"C15H22O4","PT","180-210",3
"C15H22O4","DMT","30-60",50
"C15H22O4","PT","0-30",15
"C15H22O4","DMT","0-30",3
"C8H3O4N3S1P1","PT","90-120",15
"C8H3O4N3S1P1","DMT","30-60",50
"C11H10S2P2","DMT","0-30",15
"C11H10S2P2","DMT","0-30",3
"C8H12O8S1","GS","30-60",50
"C13H16O4S1","GS","60-90",3
"C14H20O3S1","GS","0-30",1.5
"C14H20O3S1","PT","0-30",3
"C14H20O3S1","PT","120-150",50
"C14H20O3S1","PT","0-30",50
"C14H20O3S1","GS","60-90",3
"C14H20O3S1","GS","30-60",1.5
"C14H20O3S1","DMT","30-60",50
"C14H20O3S1","PT","0-30",15
"C14H20O5","PT","90-120",15
"C14H20O5","PT","0-30",50
"C14H20O5","PT","60-90",50
"C14H20O5","DMT","0-30",1.5
"C14H20O5","DMT","30-60",50
"C15H24O4","PT","180-210",1.5
"C15H24O4","PT","60-90",3
"C15H24O4","DMT","30-60",3
"C15H24O4","PT","120-150",15
"C15H24O4","PT","30-60",3
"C15H24O4","PT","0-30",50
"C15H24O4","PT","60-90",50
"C15H24O4","DMT","0-30",1.5
"C15H24O4","GS","60-90",3
"C15H24O4","PT","60-90",15
"C15H24O4","GS","30-60",1.5
"C15H24O4","DMT","30-60",50
"C17H32O2","GS","30-60",3
"C17H32O2","GS","30-60",50
"C9H2O6S2","DMT","30-60",3
"C8H14O8S1","GS","30-60",50
"C12H14O5S1","GS","0-30",1.5
"C12H14O5S1","PT","120-150",1.5
"C12H14O5S1","PT","60-90",3
"C12H14O5S1","PT","0-30",3
"C12H14O5S1","PT","90-120",3
"C12H14O5S1","PT","30-60",1.5
"C12H14O5S1","PT","0-30",50
"C12H14O5S1","GS","60-90",3
"C12H14O5S1","GS","0-30",3
"C12H14O5S1","PT","180-210",3
"C12H14O5S1","DMT","30-60",50
"C12H14O5S1","DMT","30-60",1.5
"C12H14O5S1","PT","0-30",15
"C12H14O5S1","PT","150-180",50
"C12H14O5S1","PT","120-150",15
"C12H14O5S1","GS","30-60",15
"C12H14O5S1","DMT","0-30",15
"C12H14O5S1","GS","30-60",50
"C12H14O5S1","PT","180-210",50
"C12H14O5S1","DMT","0-30",3
"C12H14O5S1","DMT","30-60",15
"C12H14O7","DMT","30-60",50
"C13H18O4S1","GS","0-30",1.5
"C13H18O4S1","PT","120-150",1.5
"C13H18O4S1","PT","60-90",3
"C13H18O4S1","PT","0-30",3
"C13H18O4S1","PT","30-60",50
"C13H18O4S1","PT","30-60",1.5
"C13H18O4S1","PT","120-150",15
