"formula","presence","PoreWater_ID","site","depth","Suction_kPa","n"
"C10H12O5S1",1,"45B","GS","0-30",3,2
"C10H12O5S1",1,"24C","PT","150-180",15,3
"C10H12O5S1",1,"34C","PT","0-30",15,3
"C10H12O5S1",1,"24D","PT","150-180",50,2
"C10H12O5S1",1,"36B","PT","60-90",3,4
"C10H12O5S1",1,"24B","PT","150-180",3,3
"C10H12O5S1",1,"35D","PT","30-60",50,3
"C10H12O5S1",1,"45A2","GS","0-30",1.5,4
"C10H12O5S1",1,"34D","PT","0-30",50,3
"C10H12O5S1",1,"30C","PT","120-150",15,2
"C10H12O5S1",1,"34B","PT","0-30",3,3
"C10H12O5S1",1,"31B","PT","150-180",3,3
"C10H12O5S1",1,"52C","GS","30-60",15,3
"C10H12O5S1",1,"41D","PT","210-240",50,3
"C10H12O5S1",1,"1C","DMT","0-30",15,1
"C10H12O5S1",1,"33D","PT","210-240",50,3
"C10H12O5S1",1,"49D","GS","30-60",50,1
"C10H12O5S1",1,"32D","PT","180-210",50,2
"C10H12O5S1",1,"46C","GS","30-60",15,3
"C10H12O5S1",1,"1B","DMT","0-30",3,1
"C10H12O5S1",1,"32B","PT","180-210",3,2
"C10H12O5S1",1,"35C","PT","30-60",15,2
"C10H12O5S1",1,"32C","PT","180-210",15,2
"C10H12O5S1",1,"25D","PT","180-210",50,2
"C10H12O5S1",1,"26C","PT","0-30",15,3
"C10H12O5S1",1,"30A","PT","120-150",1.5,3
"C10H12O5S1",1,"34A","PT","0-30",1.5,4
"C10H12O5S1",1,"22B","PT","90-120",3,4
"C10H12O5S1",1,"53C","GS","30-60",15,3
"C10H12O5S1",1,"23C","PT","120-150",15,2
"C10H12O5S1",1,"40C","PT","180-210",15,2
"C10H12O5S1",1,"24A","PT","150-180",1.5,3
"C10H12O5S1",1,"6A","DMT","60-90",1.5,1
"C10H12O5S1",1,"53B","GS","60-90",3,3
"C10H12O5S1",1,"35A","PT","30-60",1.5,4
"C10H12O5S1",1,"52B","GS","30-60",3,3
"C10H12O5S1",1,"39A","PT","150-180",1.5,3
"C10H12O5S1",1,"37B","PT","90-120",3,4
"C10H12O5S1",1,"22A","PT","90-120",1.5,2
"C10H12O5S1",1,"20C","PT","30-60",15,2
"C10H12O5S1",1,"20D","PT","30-60",50,3
"C10H12O5S1",1,"36A","PT","60-90",1.5,4
"C10H12O5S1",1,"1A","DMT","0-30",1.5,2
"C10H12O5S1",1,"52A","GS","30-60",1.5,3
"C10H12O5S1",1,"20A","PT","30-60",1.5,4
"C10H12O5S1",1,"10D","DMT","30-60",50,3
"C10H12O5S1",1,"23A","PT","120-150",1.5,3
"C10H12O5S1",1,"51A","GS","0-30",1.5,4
"C10H12O5S1",1,"37A","PT","90-120",1.5,2
"C10H12O5S1",1,"53A","GS","60-90",1.5,4
"C10H12O5S1",1,"26A","PT","0-30",1.5,4
"C10H12O5S1",1,"2C","DMT","30-60",15,1
"C10H12O5S1",1,"16D","PT","150-180",50,2
"C10H12O5S1",1,"5A","DMT","30-60",1.5,2
"C10H12O5S1",1,"50A","GS","60-90",1.5,4
"C10H12O5S1",1,"49A","GS","30-60",1.5,3
"C10H12O5S1",1,"14C","PT","90-120",15,3
"C10H12O5S1",1,"28B2","PT","60-90",3,4
"C10H12O5S1",1,"29B2","PT","90-120",3,4
"C10H12O5S1",1,"43B","GS","30-60",3,3
