"","formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"5244","C24H36O6","Lipid","aliphatic","aliphatic",0.1905,-1,1.5,0.25,1,7,0.0417
"5245","C21H40O8","Protein","aliphatic","aliphatic",-0.1176,-1.1429,1.9,0.38,-6,2,-0.2857
"5246","C25H40O5","Lipid","aliphatic","aliphatic",0.1556,-1.2,1.6,0.2,1,6,0.04
"5247","C22H44O7","Protein","aliphatic","lipid",-0.1351,-1.3636,2,0.32,-6,1,-0.2727
"5248","C22H16O2N1S2P1","ConHC","aromatic","aromatic",0.6471,-0.2273,0.73,0.09,10,16,0.4545
"5249","C18H15O11N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.4783,0.5556,0.83,0.61,0,12,0
"5250","C12H24O13N1P1","Other","aliphatic","carbohydrate",-1.8571,0.4167,2,1.08,-13,2,-1.0833
"5251","C19H19O10N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.3846,0.2105,1,0.53,0,11,0
"5252","C16H23O10N1S1","Lignin","unsaturated/lignin","unsaturated/lignin",-0.1111,0.125,1.44,0.62,-6,6,-0.375
"5253","C20H23O7N1S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.3103,-0.2,1.15,0.35,1,10,0.05
"5254","C20H23O9N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.3103,-0.1,1.15,0.45,0,10,0
"5255","C21H27O4N1S2","Lignin","unsaturated/lignin","unsaturated/lignin",0.25,-0.5714,1.29,0.19,2,9,0.0952
"5256","C17H27O9N1S1","Protein","aliphatic","aliphatic+N",-0.1429,-0.2353,1.59,0.53,-6,5,-0.3529
"5257","C13H27O14N1","Other","aliphatic","carbohydrate",-1.4,0.3077,2.08,1.08,-14,1,-1.0769
"5258","C23H23O3N3S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.4857,-0.2609,1,0.13,7,14,0.3043
"5259","C20H27O3N3S2","Lignin","unsaturated/lignin","unsaturated/lignin",0.1852,-0.4,1.35,0.15,1,9,0.05
"5260","C21H27O8N1","Lignin","unsaturated/lignin","unsaturated/lignin",0.25,-0.381,1.29,0.38,0,9,0
"5261","C24H27O2N3S1","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.4211,-0.5,1.12,0.08,7,13,0.2917
"5262","C20H27O7N3","Lignin","unsaturated/lignin","unsaturated/lignin",0.1852,-0.2,1.35,0.35,-1,9,-0.05
"5263","C25H31O1N3S1","UnsatHC","unsaturated/lignin","unsaturated/lignin",0.3659,-0.72,1.24,0.04,7,12,0.28
"5264","C20H39O8N1","Protein","aliphatic","aliphatic+N",-0.2,-1,1.95,0.4,-7,2,-0.35
"5265","C13H14O10N2S2","Tannin","unsaturated/lignin","unsaturated/lignin",-0.25,1.2308,1.08,0.77,-6,8,-0.4615
"5266","C21H10O8S1","ConHC","condensed aromatic","condensed aromatic",0.75,0.381,0.48,0.38,8,17,0.381
"5267","C17H10O13","ConHC","aromatic","aromatic",0.619,0.9412,0.59,0.76,0,13,0
"5268","C21H10O10","ConHC","condensed aromatic","condensed aromatic",0.75,0.4762,0.48,0.48,7,17,0.3333
"5269","C14H14O15","Tannin","unsaturated/lignin","unsaturated/lignin",0.0769,1.1429,1,1.07,-7,8,-0.5
"5270","C14H18O9N2S2","Lignin","unsaturated/lignin","unsaturated/lignin",-0.2727,0.7143,1.29,0.64,-6,7,-0.4286
"5271","C22H14O7S1","ConHC","aromatic","aromatic",0.6571,0.0909,0.64,0.32,8,16,0.3636
"5272","C18H14O12","ConHC","unsaturated/lignin","unsaturated/lignin",0.5,0.5556,0.78,0.67,0,12,0
"5273","C19H18O7S2","Lignin","unsaturated/lignin","unsaturated/lignin",0.4074,0,0.95,0.37,2,11,0.1053
"5274","C15H18O12S1","Tannin","unsaturated/lignin","unsaturated/lignin",0,0.5333,1.2,0.8,-6,7,-0.4
"5275","C11H23O9N2S2P1","Carb","aliphatic","lipid",-5,0.4545,2.09,0.82,-12,2,-1.0909
"5276","C28H11O1N2P1","ConHC","condensed aromatic","condensed aromatic",0.8776,-0.1071,0.39,0.04,21,25,0.75
"5277","C22H14O9","ConHC","aromatic","aromatic",0.6571,0.1818,0.64,0.41,7,16,0.3182
"5278","C21H15O6N2P1","ConHC","condensed aromatic","condensed aromatic",0.6667,0.1429,0.71,0.29,7,16,0.3333
"5279","C19H18O9S1","Lignin","unsaturated/lignin","unsaturated/lignin",0.4074,0.1053,0.95,0.47,1,11,0.0526
"5280","C15H18O14","Tannin","unsaturated/lignin","unsaturated/lignin",0,0.6667,1.2,0.93,-7,7,-0.4667
"5281","C33H10O1","ConHC","condensed aromatic","condensed aromatic",0.8769,-0.2424,0.3,0.03,28,29,0.8485
"5282","C12H23O14P1","Other","aliphatic","aliphatic",-1.5,0.4167,1.92,1.17,-13,2,-1.0833
"5283","C19H18O11","Lignin","unsaturated/lignin","unsaturated/lignin",0.4074,0.2105,0.95,0.58,0,11,0
"5284","C30H15O1P1","ConHC","condensed aromatic","condensed aromatic",0.7895,-0.4333,0.5,0.03,22,24,0.7333
"5285","C16H22O11S1","Tannin","unsaturated/lignin","unsaturated/lignin",-0.0526,0.125,1.38,0.69,-6,6,-0.375
"5286","C18H18O10N2","Lignin","unsaturated/lignin","unsaturated/lignin",0.3636,0.4444,1,0.56,-1,11,-0.0556
"5287","C23H18O8","ConHC","aromatic","aromatic",0.5789,-0.087,0.78,0.35,7,15,0.3043
"5288","C16H22O13","Tannin","unsaturated/lignin","unsaturated/lignin",-0.0526,0.25,1.38,0.81,-7,6,-0.4375
"5289","C13H26O13S1","Carb","aliphatic","carbohydrate",-1.1818,0.1538,2,1,-13,1,-1
"5290","C15H22O12N2","Tannin","unsaturated/lignin","unsaturated/lignin",-0.2857,0.5333,1.47,0.8,-8,6,-0.5333
"5291","C13H27O13P1","Carb","aliphatic","carbohydrate",-1.1818,-0.0769,2.08,1,-13,1,-1
"5292","C20H22O10","Lignin","unsaturated/lignin","unsaturated/lignin",0.3333,-0.1,1.1,0.5,0,10,0
"5293","C21H26O5S2","Lignin","unsaturated/lignin","unsaturated/lignin",0.2727,-0.5714,1.24,0.24,2,9,0.0952
"5294","C17H26O10S1","AminoSugar","aliphatic","aliphatic",-0.0909,-0.2353,1.53,0.59,-6,5,-0.3529
"5295","C19H22O9N2","Lignin","unsaturated/lignin","unsaturated/lignin",0.28,0.1053,1.16,0.47,-1,10,-0.0526
"5296","C16H26O9N2S1","AminoSugar","aliphatic","aliphatic+N",-0.2941,0,1.62,0.56,-7,5,-0.4375
"5297","C24H22O7","Lignin","aromatic","aromatic",0.5122,-0.3333,0.92,0.29,7,14,0.2917
"5298","C12H26O14N2","Other","aliphatic","carbohydrate",-2.6667,0.6667,2.17,1.17,-15,1,-1.25
"5299","C23H23O4N2P1","Lignin","unsaturated/lignin","unsaturated/lignin",0.5,-0.3913,1,0.17,7,14,0.3043
"5300","C17H26O12","Carb","aliphatic","aliphatic",-0.0909,-0.1176,1.53,0.71,-7,5,-0.4118
"5301","C16H26O11N2","AminoSugar","aliphatic","aliphatic+N",-0.2941,0.125,1.62,0.69,-8,5,-0.5
"5302","C14H31O12P1","Other","aliphatic","lipid",-1,-0.5,2.21,0.86,-13,0,-0.9286
"5303","C21H26O9","Lignin","unsaturated/lignin","unsaturated/lignin",0.2727,-0.381,1.24,0.43,0,9,0
"5304","C18H30O9S1","Protein","aliphatic","aliphatic",-0.12,-0.5556,1.67,0.5,-6,4,-0.3333
"5305","C14H30O14","Carb","aliphatic","carbohydrate",-1,-0.1429,2.14,1,-14,0,-1
"5306","C13H31O11N2P1","Other","aliphatic","lipid",-1.8889,-0.2308,2.38,0.85,-14,0,-1.0769
"5307","C19H35O4S2P1","Lipid","aliphatic","aliphatic",-0.1429,-1.2105,1.84,0.21,-4,3,-0.2105
